"物件名","担当者","駅からの徒歩時間(分)","専有面積(mxm)","築年数(年)","階数","向き","家賃"
"メゾン145番地","鈴木","8","21.56","23","4","SW","5.9"
"メゾン144番地","鈴木","5","22.83","25","4","NE","6.5"
"メゾン143番地","鈴木","15","16.94","26","4","SW","4.2"
"メゾン142番地","鈴木","17","16.32","18","4","SE","4.6"
"メゾン141番地","鈴木","15","74.96","10","15","E","25"
"メゾン140番地","山田","15","16.25","23","1","SW","4.3"
"メゾン139番地","山田","3","36.94","11","7","SE","10.3"
"メゾン138番地","菊池","9","32.18","24","3","E","8.3"
"メゾン137番地","山田","10","21.02","5","4","SW","7.5"
"メゾン136番地","山田","10","30.03","0","3","SE","9.1"
"メゾン135番地","山田","10","30.03","0","3","SE","9.1"
"メゾン134番地","山田","25","25.33","23","3","SE","6.8"
"メゾン133番地","山田","10","21.02","5","4","W","7.8"
"メゾン132番地","鈴木","9","32.18","24","3","S","8.3"
"メゾン131番地","鈴木","10","30.03","0","1","SE","9"
"メゾン130番地","鈴木","10","30.03","0","1","SE","9"
"メゾン129番地","鈴木","10","30.03","0","1","SE","9"
"メゾン128番地","鈴木","10","30.03","0","1","SE","9"
"メゾン127番地","鈴木","10","30.03","0","1","SE","9"
"メゾン126番地","鈴木","5","22.26","22","5","SE","6.6"
"メゾン125番地","鈴木","7","15","24","9","SE","4.85"
"メゾン124番地","鈴木","4","16","5","2","S","7.2"
"メゾン123番地","鈴木","4","16","5","2","S","7.2"
"メゾン122番地","鈴木","10","23.56","6","3","E","8.2"
"メゾン121番地","山田","10","30.03","0","1","S","9"
"メゾン120番地","山田","10","30.03","0","1","S","9"
"メゾン119番地","山田","10","14.62","28","5","E","4.7"
"メゾン118番地","山田","12","30.03","0","3","SE","9.3"
"メゾン117番地","山田","12","30.03","0","3","SE","9.3"
"メゾン116番地","橋本","12","30.03","0","3","SE","9.3"
"メゾン115番地","橋本","12","30.03","0","3","SE","9.3"
"メゾン114番地","橋本","12","30.03","0","3","SE","9.3"
"メゾン113番地","橋本","10","18.75","5","1","SW","7.7"
"メゾン112番地","橋本","5","30","13","8","NE","9.5"
"メゾン111番地","橋本","7","15","24","10","SW","5.05"
"メゾン110番地","橋本","7","15","24","10","E","4.85"
"メゾン109番地","橋本","7","15","24","10","E","4.85"
"メゾン108番地","橋本","7","15","24","10","E","4.85"
"メゾン107番地","橋本","7","15","24","10","E","4.95"
"メゾン106番地","橋本","3","37.18","11","9","NW","10.6"
"メゾン105番地","橋本","10","40.12","9","7","SE","12"
"メゾン104番地","橋本","20","21.14","7","3","SW","5.6"
"メゾン103番地","橋本","7","15","24","3","E","4.75"
"メゾン102番地","橋本","7","15","24","3","E","4.75"
"メゾン101番地","橋本","7","15","24","3","E","4.75"
"メゾン100番地","橋本","7","15","24","3","E","4.75"
"メゾン99番地","橋本","7","15","24","3","E","4.75"
"メゾン98番地","橋本","10","18.75","5","1","W","7.7"
"メゾン97番地","橋本","10","18.75","5","1","SW","7.2"
"メゾン96番地","橋本","10","18.75","5","1","SW","7.2"
"メゾン95番地","橋本","10","18.75","5","1","SW","7.2"
"メゾン94番地","橋本","10","21.02","5","1","E","7.7"
"メゾン93番地","橋本","10","30.03","0","2","SE","9.2"
"メゾン92番地","山田","10","30.03","0","2","SE","9.2"
"メゾン91番地","山田","10","30.03","0","2","SE","9.2"
"メゾン90番地","山田","10","30.03","0","2","SE","9.2"
"メゾン89番地","山田","10","30.03","0","2","SE","9.2"
"メゾン88番地","山田","10","30.03","0","2","SE","9.2"
"メゾン87番地","山田","10","30.03","0","2","SE","9.2"
"メゾン86番地","山田","10","30.03","0","2","SE","9.2"
"メゾン85番地","山田","10","30.03","0","2","SE","9.2"
"メゾン84番地","菊池","10","30.03","0","2","SE","9.2"
"メゾン83番地","菊池","10","30.03","0","2","SE","9.2"
"メゾン82番地","菊池","10","30.03","0","2","SE","9.2"
"メゾン81番地","菊池","10","30.03","0","2","SE","9.2"
"メゾン80番地","菊池","10","30.03","0","2","SE","9.2"
"メゾン79番地","菊池","10","30.03","0","2","SE","9.2"
"メゾン78番地","菊池","10","30.03","0","1","SE","8.8"
"メゾン77番地","菊池","8","21.56","23","2","N","6.3"
"メゾン76番地","菊池","10","30.03","0","2","SW","9.2"
"メゾン75番地","菊池","10","30.03","0","2","SW","9.2"
"メゾン74番地","菊池","1","17.59","29","8","S","5.5"
"メゾン73番地","菊池","12","23.09","12","3","S","7.3"
"メゾン72番地","菊池","11","31.8","12","3","SE","9"
"メゾン71番地","菊池","7","18.07","25","6","SE","5.3"
"メゾン70番地","菊池","25","22.82","23","4","SE","7.5"
"メゾン69番地","山田","25","22.82","23","4","SE","7.5"
"メゾン68番地","山田","7","15","24","3","W","4.75"
"メゾン67番地","山田","7","24.39","25","7","SE","6.5"
"メゾン66番地","山田","7","30","24","9","E","7.67"
"メゾン65番地","山田","7","30","24","9","E","7.67"
"メゾン64番地","山田","7","30","24","9","E","7.67"
"メゾン63番地","鈴木","25","25.33","23","3","SE","7.2"
"メゾン62番地","山田","5","25.03","6","2","SW","7.8"
"メゾン61番地","山田","5","25.03","6","2","SW","7.8"
"メゾン60番地","山田","15","20.13","14","8","SE","7.3"
"メゾン59番地","山田","9","28.3","28","6","E","6.4"
"メゾン58番地","山田","7","15","24","8","E","4.85"
"メゾン57番地","山田","7","15","24","8","E","4.85"
"メゾン56番地","山田","7","15","24","8","E","4.85"
"メゾン55番地","山田","7","15","24","8","E","4.85"
"メゾン54番地","山田","7","15","24","8","E","4.85"
"メゾン53番地","山田","1","17.16","29","9","E","5.8"
"メゾン52番地","島田","10","30.03","0","3","SE","9.3"
"メゾン51番地","島田","10","30.03","0","3","SE","9.3"
"メゾン50番地","島田","10","30.03","0","3","SE","9.3"
"メゾン49番地","島田","10","30.03","0","3","SE","9.3"
"メゾン48番地","島田","10","30.03","0","3","SE","9.3"
"メゾン47番地","島田","10","30.03","0","3","SE","9.3"
"メゾン46番地","島田","10","30.03","0","3","SE","9.3"
"メゾン45番地","島田","10","30.03","0","3","SE","9.3"
"メゾン44番地","島田","10","30.03","0","3","SE","9.3"
"メゾン43番地","島田","10","30.03","0","3","SE","9.3"
"メゾン42番地","島田","10","30.03","0","4","SE","9.4"
"メゾン41番地","島田","12","30.03","0","4","SE","9.4"
"メゾン40番地","島田","1","16.35","21","4","SE","4.7"
"メゾン39番地","島田","7","24.39","25","7","SE","6.3"
"メゾン38番地","島田","15","23.37","5","10","NW","7.8"
"メゾン37番地","島田","6","31.1","7","8","SW","9.5"
"メゾン36番地","島田","10","30.03","0","5","SE","9.6"
"メゾン35番地","島田","35","35.39","6","2","SW","9.6"
"メゾン34番地","島田","5","20.43","22","3","SE","6.1"
"メゾン33番地","山田","2","17.24","29","9","E","5.8"
"メゾン32番地","山田","7","22.83","25","4","SW","6.9"
"メゾン31番地","山田","10","30.03","0","4","SE","9.2"
"メゾン30番地","山田","20","16.25","23","3","SW","4.5"
"メゾン29番地","山田","8","40.12","9","7","SE","12.3"
"メゾン28番地","山田","9","14.62","28","5","NE","4.7"
"メゾン27番地","山田","8","21.56","23","4","NE","5.9"
"メゾン26番地","山田","8","21.56","23","4","NE","5.9"
"メゾン25番地","山田","5","22.26","22","5","E","6.6"
"メゾン24番地","山田","9","14.62","28","5","E","4.7"
"メゾン23番地","山田","10","30.03","0","2","SE","9.22"
"メゾン22番地","鈴木","3","36.94","11","5","NW","9.7"
"メゾン21番地","山田","15","29.48","24","4","NW","6"
"メゾン20番地","山田","7","15","24","10","E","5.05"
"メゾン19番地","山田","7","15","24","10","E","5.05"
"メゾン18番地","山田","7","15","24","10","E","5.05"
"メゾン17番地","山田","7","15","24","10","E","5.05"
"メゾン16番地","山田","10","30.03","0","1","W","8.8"
"メゾン15番地","鈴木","12","30.03","0","2","SE","9.2"
"メゾン14番地","山田","12","30.03","0","2","SE","9.2"
"メゾン13番地","山田","12","30.03","0","2","SE","9.2"
"メゾン12番地","山田","12","30.03","0","2","SE","9.2"
"メゾン11番地","山田","16","30.91","9","9","SE","8.4"
"メゾン10番地","山田","10","30.03","0","2","SE","9"
"メゾン9番地","山田","10","30.03","0","2","SE","9"
"メゾン8番地","鈴木","10","30.03","0","5","SW","9.6"
"メゾン7番地","山田","11","20.1","30","7","SE","6.3"
"メゾン6番地","山田","22","36.54","9","2","E","8.6"
"メゾン5番地","山田","15","20.13","14","8","S","7.3"
"メゾン4番地","鈴木","7","15","24","3","SW","4.75"
"メゾン3番地","山田","26","18.23","24","2","W","4.5"
"メゾン2番地","山田","10","38.29","45","4","SE","8"
"メゾン1番地","山田","10","22.34","6","2","E","7.1"
